#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.882835   -0.882835           0
           2    -0.88557   -0.884202 0.000966785
           3   -0.882692   -0.883699 0.000764382
           4   -0.884536   -0.883908 0.000601273
           5   -0.883776   -0.883882 0.000481598
           6   -0.889481   -0.884815 0.000941669
           7   -0.887013   -0.885129 0.000857872
           8    -0.88974   -0.885706 0.000924218
           9   -0.894452   -0.886677  0.00123065
          10   -0.888063   -0.886816  0.00111536
          11   -0.893537   -0.887427  0.00116941
          12       -0.89   -0.887641  0.00109145
          13   -0.886879   -0.887583  0.00100906
          14    -0.88582   -0.887457  0.00094481
          15   -0.885694   -0.887339 0.000889106
          16   -0.885448   -0.887221 0.000841355
          17   -0.890539   -0.887416 0.000814189
          18   -0.887032   -0.887395 0.000769237
          19   -0.897253   -0.887914  0.00088663
          20   -0.877802   -0.887408 0.000975865
