#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     24.5431     24.5431           0
           2     23.3808      23.962    0.410933
           3     25.4934     24.4725    0.498764
           4     23.7744     24.2979    0.403447
           5     22.7154     23.9814    0.429321
           6     27.1411     24.5081    0.599251
           7      24.652     24.5286    0.513996
           8     24.9835     24.5855     0.45288
           9     25.4921     24.6862    0.413612
          10     24.4525     24.6628     0.37291
          11     26.8895     24.8653    0.390101
          12     25.6583     24.9313    0.363146
          13      24.989     24.9358    0.335239
          14     24.4384     24.9003     0.31317
          15     26.8822     25.0324     0.31895
          16     22.1903     24.8548    0.344952
          17     22.4741     24.7147     0.35194
          18     25.8061     24.7753     0.33757
          19     29.0239      24.999    0.386837
          20     21.7582     24.8369    0.399996
