# step  T_sa   H_avg   H_err   mu   sigma   accept_flag   acc_rate_MC
87 0.0121403 -0.42178 0.00464022 0.766894 0.564749 0 0.483644
88 0.0115333 -0.440365 0.00464576 0.773717 0.651408 1 0.530844
89 0.0109566 -0.440365 0.00464576 0.773717 0.651408 0 0.523756
90 0.0104088 -0.444359 0.00350343 0.804313 0.602532 1 0.522622
91 0.00988836 -0.444359 0.00350343 0.804313 0.602532 0 0.495067
92 0.00939395 -0.444359 0.00350343 0.804313 0.602532 0 0.483422
93 0.00892425 -0.444359 0.00350343 0.804313 0.602532 0 0.555689
94 0.00847804 -0.444359 0.00350343 0.804313 0.602532 0 0.547178
95 0.00805413 -0.444359 0.00350343 0.804313 0.602532 0 0.522978
96 0.00765143 -0.444359 0.00350343 0.804313 0.602532 0 0.520889
97 0.00726886 -0.444359 0.00350343 0.804313 0.602532 0 0.499356
98 0.00690541 -0.444359 0.00350343 0.804313 0.602532 0 0.539267
99 0.00656014 -0.444359 0.00350343 0.804313 0.602532 0 0.485556
100 0.00623214 -0.444359 0.00350343 0.804313 0.602532 0 0.5154
101 0.00592053 -0.444359 0.00350343 0.804313 0.602532 0 0.519822
102 0.0056245 -0.444359 0.00350343 0.804313 0.602532 0 0.574156
103 0.00534328 -0.44085 0.00370968 0.826445 0.617985 1 0.531511
104 0.00507611 -0.44085 0.00370968 0.826445 0.617985 0 0.554756
105 0.00482231 -0.447421 0.00375621 0.824548 0.635045 1 0.541533
106 0.00458119 -0.447421 0.00375621 0.824548 0.635045 0 0.485422
107 0.00435213 -0.445215 0.00347212 0.770146 0.609654 1 0.518133
108 0.00413453 -0.445215 0.00347212 0.770146 0.609654 0 0.530778
109 0.0039278 -0.445215 0.00347212 0.770146 0.609654 0 0.536711
110 0.00373141 -0.445215 0.00347212 0.770146 0.609654 0 0.521178
111 0.00354484 -0.445215 0.00347212 0.770146 0.609654 0 0.463156
112 0.0033676 -0.445215 0.00347212 0.770146 0.609654 0 0.5266
113 0.00319922 -0.445215 0.00347212 0.770146 0.609654 0 0.440178
114 0.00303926 -0.445215 0.00347212 0.770146 0.609654 0 0.513467
115 0.00288729 -0.454481 0.00302309 0.789789 0.617387 1 0.524511
116 0.00274293 -0.454481 0.00302309 0.789789 0.617387 0 0.479422
117 0.00260578 -0.454481 0.00302309 0.789789 0.617387 0 0.482311
118 0.00247549 -0.454481 0.00302309 0.789789 0.617387 0 0.536644
119 0.00235172 -0.454481 0.00302309 0.789789 0.617387 0 0.527711
120 0.00223413 -0.454481 0.00302309 0.789789 0.617387 0 0.533711
121 0.00212243 -0.454481 0.00302309 0.789789 0.617387 0 0.537889
122 0.00201631 -0.454481 0.00302309 0.789789 0.617387 0 0.547044
123 0.00191549 -0.454481 0.00302309 0.789789 0.617387 0 0.496022
124 0.00181972 -0.454481 0.00302309 0.789789 0.617387 0 0.547667
125 0.00172873 -0.454481 0.00302309 0.789789 0.617387 0 0.511778
126 0.00164229 -0.454481 0.00302309 0.789789 0.617387 0 0.540133
127 0.00156018 -0.454481 0.00302309 0.789789 0.617387 0 0.5488
128 0.00148217 -0.454481 0.00302309 0.789789 0.617387 0 0.538622
129 0.00140806 -0.454481 0.00302309 0.789789 0.617387 0 0.549111
