#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.359689    0.811273           0
           2    0.366286    0.816579    0.405759
           3    0.355631    0.813642        0.33
           4     0.35603    0.813021    0.285501
           5    0.366849    0.812906     0.25543
           6    0.354022    0.811547    0.232748
           7    0.348652     0.80963    0.214926
           8    0.359234    0.810152     0.20117
           9    0.368307    0.811173    0.189938
          10    0.365194    0.811572    0.180301
          11    0.347937    0.810818    0.171711
          12    0.353436    0.810495    0.164321
          13      0.3623    0.810866    0.157953
          14    0.366698    0.811541    0.152346
          15    0.361541    0.811541    0.147187
          16    0.359539    0.811398    0.142492
          17    0.346038    0.810788    0.138111
          18    0.346167    0.809905    0.134061
          19    0.355797    0.809814    0.130468
          20    0.362884    0.810279    0.127239
