#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     3.60477     3.60477           0
           2     3.63875     3.62176   0.0120129
           3     3.88815     3.71056   0.0729433
           4     4.16628     3.82449    0.112819
           5     3.76205       3.812   0.0909439
           6     3.95092     3.83516   0.0786785
           7      3.8336     3.83493    0.067439
           8     3.83743     3.83525   0.0590099
           9     4.11252     3.86605   0.0599585
          10     4.01974     3.88142   0.0558975
          11     3.73389     3.86801   0.0524003
          12     3.90838     3.87137   0.0481415
          13     4.10655     3.88946   0.0477163
          14     4.14614      3.9078   0.0477005
          15     3.83398     3.90288   0.0447735
          16     4.20156     3.92155   0.0457013
          17     4.02432     3.92759    0.043411
          18      4.0049     3.93189   0.0412112
          19     4.01491     3.93626   0.0392731
          20     3.97494     3.93819   0.0373571
