#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.46577    -0.46577           0
           2   -0.460827   -0.463298  0.00174769
           3    -0.46222   -0.462939  0.00120153
           4   -0.465698   -0.463628  0.00108114
           5   -0.458957   -0.462694   0.0012026
           6   -0.461063   -0.462422  0.00103246
           7   -0.459473   -0.462001 0.000967094
           8   -0.460677   -0.461835 0.000860259
           9   -0.458495   -0.461464  0.00084093
          10   -0.465203   -0.461838 0.000835824
          11   -0.461407   -0.461799 0.000760759
          12   -0.462875   -0.461889 0.000702628
          13   -0.461677   -0.461872 0.000648769
          14   -0.462609   -0.461925  0.00060456
          15   -0.462946   -0.461993 0.000568075
          16   -0.461781    -0.46198 0.000532724
          17   -0.465355   -0.462178 0.000537104
          18   -0.459387   -0.462023 0.000529174
          19   -0.466524    -0.46226 0.000551809
          20   -0.464033   -0.462349 0.000531288
