#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.40475     1.40475           0
           2     1.31738     1.36107   0.0308893
           3     1.40191     1.37468   0.0234011
           4     1.44707     1.39278   0.0235298
           5     1.39115     1.39245   0.0188261
           6     1.39191     1.39236   0.0156886
           7     1.35429     1.38692   0.0143591
           8     1.31346     1.37774   0.0152196
           9     1.41622     1.38202   0.0141164
          10     1.39759     1.38357   0.0127904
          11     1.29586      1.3756   0.0138925
          12     1.40161     1.37777   0.0129027
          13     1.33812     1.37472   0.0122654
          14      1.3464      1.3727   0.0115548
          15     1.40212     1.37466   0.0109498
          16     1.30655      1.3704   0.0110619
          17     1.35284     1.36937   0.0104594
          18     1.28401     1.36462   0.0109003
          19     1.49063     1.37126    0.012178
          20     1.36903     1.37115   0.0115696
