#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.038888    0.038888           0
           2    0.028128    0.033508  0.00380423
           3     0.03218   0.0330653  0.00256178
           4    0.028476    0.031918  0.00216306
           5    0.023868    0.030308  0.00225125
           6    0.026728   0.0297113  0.00195351
           7    0.031268   0.0299337  0.00168705
           8    0.026232    0.029471  0.00153831
           9     0.02596   0.0290809  0.00141599
          10    0.033348   0.0295076  0.00133714
          11    0.026744   0.0292564  0.00123896
          12    0.038152   0.0299977  0.00133925
          13    0.033836   0.0302929  0.00126836
          14    0.028468   0.0301626  0.00118444
          15    0.028896   0.0300781  0.00110848
          16    0.022268     0.02959  0.00114163
          17    0.025732   0.0293631   0.0010968
          18    0.017364   0.0286964  0.00122177
          19     0.03742   0.0291556  0.00124074
          20    0.032432   0.0293194  0.00118947
