#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.197206    0.429924           0
           2    0.196414    0.427207    0.212936
           3    0.194738    0.426126    0.173409
           4    0.200949    0.428069    0.150875
           5    0.195666    0.426848    0.134572
           6    0.197968     0.42677    0.122834
           7    0.193402    0.425802     0.11346
           8    0.202172    0.426398    0.106295
           9    0.194507    0.425719    0.100056
          10    0.195677    0.425921   0.0949595
          11    0.195234    0.425724    0.090497
          12    0.194353    0.425593   0.0866137
          13    0.201632    0.426002   0.0833013
          14    0.201927    0.426437   0.0803572
          15    0.191766    0.426102   0.0775653
          16    0.190356    0.425648   0.0750161
          17    0.194368    0.425696   0.0727807
          18     0.19287    0.425343   0.0706706
          19    0.194769    0.425482   0.0688047
          20    0.201598    0.425861   0.0671244
