#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     0.43259     1.01607           0
           2    0.434465     1.02626    0.506876
           3    0.434613     1.02542    0.413625
           4    0.420864     1.02323    0.357178
           5    0.444869     1.02437    0.320052
           6    0.440802     1.02645    0.292794
           7    0.433598     1.02668    0.271117
           8    0.435356     1.02862    0.254025
           9    0.428407      1.0272    0.239161
          10    0.416002     1.02501    0.226339
          11    0.441526     1.02705    0.216232
          12    0.446905     1.02882    0.207409
          13     0.43806     1.02956    0.199416
          14    0.431701     1.02948    0.192139
          15    0.458289     1.03134       0.186
          16    0.424569     1.03053    0.179933
          17    0.448695     1.03197    0.174814
          18    0.467671     1.03381    0.170236
          19    0.463043     1.03566    0.166015
          20    0.425772     1.03489    0.161675
