#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     7.21361     7.21361           0
           2     8.26553     7.73957     0.37191
           3     7.89278     7.79064    0.251422
           4      7.6119     7.74595    0.192497
           5     8.05777     7.80832    0.163788
           6     7.84609     7.81461    0.136611
           7     8.00201     7.84138    0.119689
           8     8.37586     7.90819    0.121958
           9      7.9938      7.9177    0.108777
          10     7.56208     7.88214    0.103549
          11     9.10104     7.99295    0.141506
          12      7.9485     7.98925    0.129762
          13     9.05018     8.07086    0.143162
          14     8.10822     8.07353    0.132961
          15     8.60936     8.10925    0.128806
          16     8.14721     8.11162    0.120778
          17     8.90481     8.15828    0.122354
          18     9.08447     8.20973    0.125912
          19     9.78671     8.29273    0.144067
          20     8.12996     8.28459    0.137093
