#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.123988    0.123988           0
           2    0.169308    0.146648    0.016023
           3    0.124592    0.139296   0.0122532
           4    0.115356    0.133311   0.0105508
           5    0.105628    0.127774  0.00978608
           6     0.12478    0.127275  0.00816778
           7    0.153588    0.131034  0.00781822
           8    0.139596    0.132104   0.0069138
           9      0.1159    0.130304  0.00637574
          10     0.09572    0.126846  0.00660992
          11    0.183904    0.132033  0.00778258
          12    0.150068    0.133536  0.00727771
          13    0.186116     0.13758  0.00776084
          14      0.1623    0.139346  0.00740463
          15    0.188152      0.1426  0.00759228
          16    0.143732     0.14267   0.0071181
          17    0.126124    0.141697   0.0067656
          18    0.180828    0.143871  0.00672994
          19    0.177916    0.145663  0.00660997
          20    0.137444    0.145252  0.00629223
