#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.758176   -0.758176           0
           2   -0.770258   -0.764217  0.00427177
           3    -0.76186   -0.763431  0.00291921
           4   -0.766411   -0.764176  0.00228249
           5   -0.758385   -0.763018  0.00209943
           6   -0.766336   -0.763571  0.00182089
           7   -0.765368   -0.763828  0.00157875
           8   -0.773352   -0.765018  0.00177441
           9   -0.760846   -0.764555  0.00163668
          10   -0.762234   -0.764323  0.00148937
          11    -0.77271   -0.765085  0.00153682
          12   -0.769721   -0.765471   0.0014565
          13   -0.769186   -0.765757  0.00137221
          14   -0.766854   -0.765835  0.00127643
          15   -0.768011   -0.765981  0.00119955
          16   -0.765067   -0.765923  0.00112594
          17   -0.772962   -0.766337  0.00113329
          18   -0.766857   -0.766366  0.00107069
          19   -0.772406   -0.766684  0.00106048
          20   -0.765509   -0.766625  0.00100909
