# mu sigma energy error acceptance
0.3 0.6 0.1326052154 0.01755202876 0.477
0.3 0.65 0.0223497289 0.01421384058 0.50785
0.3 0.7 -0.04331885919 0.01287990742 0.5218
0.3 0.75 -0.1075038267 0.01266997466 0.53755
0.3 0.8 -0.1746251629 0.01098958906 0.5614
0.3 0.85 -0.2175864999 0.01117622292 0.5801
0.3 0.9 -0.2644059114 0.01425380119 0.59845
0.35 0.2 4.392992999 0.1715958208 0.3151
0.35 0.25 1.775350624 0.08203629966 0.3795
0.35 0.3 0.8587406345 0.04226756775 0.41795
0.35 0.35 0.6085340636 0.02428192594 0.4176
0.35 0.4 0.4708280823 0.01978906258 0.4312
0.35 0.45 0.3500091482 0.0188470536 0.4451
0.35 0.5 0.2566619679 0.01572000352 0.46195
0.35 0.55 0.1522831785 0.01431646949 0.47765
0.35 0.6 0.06190893584 0.01400259711 0.5022
0.35 0.65 -0.03731246653 0.01410233512 0.52
0.35 0.7 -0.09757436652 0.01304942694 0.53545
0.35 0.75 -0.1743196718 0.01239720525 0.5519
0.35 0.8 -0.2053749627 0.01084637441 0.5715
0.35 0.85 -0.2355952984 0.01137483023 0.5896
0.35 0.9 -0.2607914658 0.01099792337 0.6026
0.4 0.2 5.169093634 0.1662855851 0.31115
0.4 0.25 2.207441873 0.09627796218 0.38325
0.4 0.3 0.9832905461 0.04705709135 0.44435
0.4 0.35 0.5315549675 0.02376456001 0.48045
0.4 0.4 0.2986688587 0.02038562677 0.47865
0.4 0.45 0.2163426791 0.01492394418 0.4794
0.4 0.5 0.1592908889 0.01425861078 0.48935
0.4 0.55 0.05350286297 0.01536099134 0.50615
0.4 0.6 -0.0007103520548 0.01352480739 0.5171
0.4 0.65 -0.08054925918 0.01322791343 0.53195
0.4 0.7 -0.1638937655 0.01222364716 0.5505
0.4 0.75 -0.1958777121 0.01134689957 0.56665
0.4 0.8 -0.229371827 0.01115147715 0.5798
0.4 0.85 -0.2712640556 0.009942171253 0.59465
0.4 0.9 -0.2434285387 0.02586264701 0.6126
0.45 0.2 5.378894366 0.1491654861 0.3039
0.45 0.25 2.481769161 0.09948198529 0.386
0.45 0.3 1.086927974 0.05733455417 0.46015
0.45 0.35 0.5167757199 0.03500994558 0.50275
0.45 0.4 0.1654433062 0.02419904025 0.52185
0.45 0.45 0.09445366342 0.01587172241 0.52105
0.45 0.5 0.01399829419 0.01496379864 0.52515
0.45 0.55 -0.03157535051 0.01224355419 0.5275
0.45 0.6 -0.1094987651 0.01177896427 0.5432
0.45 0.65 -0.1417040914 0.01039997437 0.5521
0.45 0.7 -0.1774844114 0.01057968663 0.56525
0.45 0.75 -0.2181331098 0.01027830159 0.58125
0.45 0.8 -0.243547944 0.01060666289 0.5968
0.45 0.85 -0.2586824016 0.01232462298 0.60645
0.45 0.9 -0.2749522886 0.01152400759 0.62175
0.5 0.2 5.567459137 0.1500365743 0.2968
0.5 0.25 2.77960758 0.1008363527 0.3803
0.5 0.3 1.272134089 0.0620443667 0.45365
0.5 0.35 0.5408482114 0.04148357309 0.5175
0.5 0.4 0.1239647213 0.02552750414 0.5551
