# mu sigma energy error acceptance
0.58 0.54 -0.2590785635 0.01014775246 0.6173
0.58 0.56 -0.2677968256 0.01091107788 0.6211
0.58 0.58 -0.2775779448 0.009313371408 0.61395
0.58 0.6 -0.2983511136 0.009323633606 0.6154
0.58 0.62 -0.2912722032 0.008372210341 0.61865
0.58 0.64 -0.2828585208 0.008040690832 0.61455
0.58 0.66 -0.3111967564 0.007798501927 0.62115
0.58 0.68 -0.2955014755 0.007963248711 0.6196
0.58 0.7 -0.3212483546 0.008748777445 0.61065
0.58 0.72 -0.3162432536 0.008768877492 0.6198
0.58 0.74 -0.3136345017 0.008415831409 0.62655
0.58 0.76 -0.3085991376 0.01472958288 0.62415
0.58 0.78 -0.3210607567 0.01016505634 0.6266
0.58 0.8 -0.2923771021 0.01282319077 0.63985
0.6 0.4 0.1457714018 0.0265016827 0.5551
0.6 0.42 0.06404900197 0.02401475686 0.58025
0.6 0.44 -0.07378106106 0.01968284543 0.5882
0.6 0.46 -0.1626390796 0.01824120212 0.60675
0.6 0.48 -0.149802811 0.01312996314 0.61485
0.6 0.5 -0.2210231802 0.01403758366 0.6225
0.6 0.52 -0.2510739527 0.01030190482 0.6328
0.6 0.54 -0.2777864897 0.009533511625 0.63275
0.6 0.56 -0.2982293234 0.01011149439 0.63095
0.6 0.58 -0.3060176991 0.007705651188 0.63455
0.6 0.6 -0.313601203 0.007694848943 0.62445
0.6 0.62 -0.3173124528 0.007478271364 0.6275
0.6 0.64 -0.3154875582 0.00670357933 0.62725
0.6 0.66 -0.3169038801 0.007552590894 0.6255
0.6 0.68 -0.3227861728 0.00746880634 0.6283
0.6 0.7 -0.3331770076 0.007896517708 0.6275
0.6 0.72 -0.3251346379 0.008411742752 0.6352
0.6 0.74 -0.3157986536 0.009324080591 0.62605
0.6 0.76 -0.321408573 0.009800331052 0.63355
0.6 0.78 -0.3146342757 0.01074469233 0.63815
0.6 0.8 -0.3294113929 0.009555993774 0.6419
0.62 0.4 0.1833473007 0.03159382051 0.5492
0.62 0.42 0.03229580228 0.02595088304 0.583
0.62 0.44 -0.0527181951 0.02040718249 0.5971
0.62 0.46 -0.1373834461 0.01638730161 0.6116
0.62 0.48 -0.1947307471 0.01515601537 0.6179
0.62 0.5 -0.244995715 0.01390495671 0.6348
0.62 0.52 -0.2774460252 0.01030417845 0.63735
0.62 0.54 -0.2883055751 0.009851639302 0.63235
0.62 0.56 -0.300547461 0.008530356 0.64145
0.62 0.58 -0.3171569076 0.008387825022 0.6423
0.62 0.6 -0.3235917712 0.007075945504 0.6463
0.62 0.62 -0.333383873 0.007086171165 0.63865
0.62 0.64 -0.3421268605 0.007250166404 0.63535
0.62 0.66 -0.3407205135 0.01053653306 0.6395
0.62 0.68 -0.3456533756 0.006084338794 0.63785
0.62 0.7 -0.3517731102 0.007462482061 0.6407
0.62 0.72 -0.3301088017 0.01032270576 0.63575
0.62 0.74 -0.3363956775 0.009061902431 0.63735
0.62 0.76 -0.3524786675 0.009833873928 0.6455
0.62 0.78 -0.325395716 0.009775793179 0.64715
0.62 0.8 -0.3408852678 0.01278614099 0.64835
0.64 0.4 0.1822462473 0.03141353421 0.54705
0.64 0.42 0.04092617429 0.02861303241 0.5691
0.64 0.44 -0.05004421361 0.02065015163 0.59445
0.64 0.46 -0.1615586203 0.01795019591 0.6115
0.64 0.48 -0.1909089832 0.01500314824 0.6235
0.64 0.5 -0.2465790842 0.01604705802 0.6352
0.64 0.52 -0.3021218734 0.01188412862 0.65145
0.64 0.54 -0.3185458533 0.01077514292 0.6491
0.64 0.56 -0.3417350046 0.008560589757 0.653
0.64 0.58 -0.3398019561 0.007769282139 0.65535
0.64 0.6 -0.3572994366 0.006880895904 0.6526
0.64 0.62 -0.3588453817 0.006452860934 0.64825
0.64 0.64 -0.3479722429 0.006726663008 0.65305
0.64 0.66 -0.3571439515 0.008217995724 0.6515
0.64 0.68 -0.3601090692 0.006977721467 0.64545
0.64 0.7 -0.3638980053 0.008664203171 0.65005
0.64 0.72 -0.3383291999 0.01032637616 0.6508
0.64 0.74 -0.3353660268 0.01611701341 0.6516
0.64 0.76 -0.3549102568 0.01043068111 0.6523
0.64 0.78 -0.3407630856 0.01042056964 0.6481
0.64 0.8 -0.3573706846 0.01166810213 0.65695
0.66 0.4 0.1863090034 0.03247007284 0.5325
0.66 0.42 0.06848395708 0.02677330631 0.55595
0.66 0.44 -0.03817983327 0.02138808819 0.5822
0.66 0.46 -0.159071356 0.01846728149 0.60375
