#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.244224    0.523977           0
           2    0.235011    0.520164    0.259255
           3    0.240575    0.520457    0.211817
           4    0.239438    0.520542    0.183462
           5    0.248641    0.522992     0.16489
           6     0.24184    0.522905    0.150504
           7    0.241963    0.523188    0.139413
           8    0.238285    0.522752    0.130292
           9    0.238599     0.52217    0.122703
          10    0.248025    0.523201    0.116642
          11    0.241583    0.523043    0.111183
          12    0.238814    0.522899    0.106416
          13    0.239117    0.522645     0.10219
          14     0.24058    0.522845   0.0985064
          15    0.240666    0.522799   0.0951577
          16     0.24151     0.52269    0.092119
          17    0.233134    0.522284   0.0892906
          18     0.23871    0.522139     0.08675
          19    0.242802    0.522361   0.0844726
          20    0.244152    0.522535   0.0823634
