#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.042264    0.042264           0
           2    0.042616     0.04244 0.000124451
           3    0.027364   0.0374147  0.00410401
           4    0.035544    0.036947  0.00310454
           5     0.03898   0.0373536  0.00251011
           6    0.036752   0.0372533  0.00209376
           7     0.02762   0.0358771  0.00220094
           8    0.034428    0.035696  0.00193326
           9    0.036972   0.0358378  0.00172364
          10     0.04094    0.036348  0.00162504
          11    0.026728   0.0354735  0.00169639
          12    0.050112   0.0366933  0.00194479
          13     0.04006   0.0369523  0.00181235
          14    0.048648   0.0377877  0.00186553
          15     0.03002   0.0372699  0.00181161
          16    0.029464    0.036782  0.00176285
          17    0.036176   0.0367464  0.00165951
          18    0.021116    0.035878  0.00178007
          19     0.04486   0.0363507  0.00174802
          20    0.044572   0.0367618  0.00170827
