#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.81563     1.81563           0
           2     1.83928     1.82746  0.00835921
           3      1.8112     1.82204  0.00711631
           4     1.72938     1.79887   0.0207583
           5     1.89468     1.81803   0.0238644
           6     1.76932     1.80991   0.0212233
           7     1.81843     1.81113   0.0182262
           8      1.8448     1.81534   0.0164266
           9     1.81018     1.81477   0.0146114
          10     1.79006     1.81229   0.0133575
          11     1.77923     1.80929   0.0124769
          12     1.85033     1.81271   0.0118967
          13     1.85255     1.81577   0.0113694
          14     1.81189      1.8155   0.0105607
          15     1.83243     1.81663  0.00991686
          16      1.7179     1.81045   0.0110513
          17     1.79133     1.80933   0.0104583
          18     1.83477     1.81074  0.00997235
          19     1.89553     1.81521   0.0103981
          20     1.79147     1.81402  0.00994565
