#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.295907    0.648711           0
           2    0.294844    0.648883    0.323136
           3    0.296737    0.648789    0.263837
           4    0.293676    0.649323    0.228626
           5    0.296113    0.648085    0.204137
           6    0.299284     0.64879     0.18657
           7    0.289097    0.647778    0.172434
           8    0.296268    0.647935     0.16134
           9    0.297902    0.647819      0.1521
          10    0.304451    0.648743    0.144517
          11    0.297221    0.648987    0.137842
          12     0.29863    0.649264    0.132033
          13    0.291056    0.648843    0.126762
          14    0.295678    0.648803    0.122143
          15    0.293048    0.648481    0.117941
          16    0.294021    0.648105    0.114131
          17    0.293935    0.648129    0.110724
          18    0.283514    0.647209    0.107442
          19    0.295704    0.647424    0.104609
          20    0.302816    0.647858    0.102034
