#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.582656   -0.582656           0
           2   -0.583904    -0.58328 0.000441235
           3   -0.581816   -0.582792 0.000495268
           4   -0.586544    -0.58373  0.00089323
           5   -0.577664   -0.582517  0.00129927
           6    -0.58272   -0.582551  0.00108317
           7   -0.582752   -0.582579 0.000928813
           8   -0.582608   -0.582583 0.000812718
           9   -0.579296   -0.582218 0.000800282
          10    -0.58216   -0.582212 0.000720275
          11   -0.583808   -0.582357 0.000669249
          12   -0.583304   -0.582436 0.000618113
          13   -0.582784   -0.582463 0.000571145
          14   -0.582488   -0.582465 0.000530352
          15   -0.581152   -0.582377 0.000502162
          16   -0.578976   -0.582165 0.000513801
          17   -0.584248   -0.582287  0.00049798
          18   -0.579056   -0.582108 0.000501625
          19   -0.585048   -0.582262 0.000498525
          20     -0.5828   -0.582289 0.000474323
