#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.438831     1.03295           0
           2     0.42007      1.0227    0.504706
           3    0.443424     1.02836    0.414664
           4    0.420979     1.02667    0.358221
           5    0.420934     1.02364    0.319386
           6    0.448567     1.02745     0.29279
           7    0.441588     1.02849    0.271428
           8    0.430447     1.02908    0.253995
           9    0.440447     1.02999    0.239716
          10     0.45134     1.03218    0.227952
          11    0.445015     1.03336    0.217618
          12    0.427488     1.03272    0.208193
          13    0.427703     1.03227    0.199913
          14    0.457243     1.03393    0.192999
          15    0.430062     1.03346    0.186357
          16    0.433751     1.03338    0.180419
          17    0.448919     1.03435    0.175216
          18    0.433491     1.03428     0.17026
          19    0.444508     1.03475    0.165806
          20    0.436697     1.03482    0.161617
