#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.765076   -0.765076           0
           2   -0.764189   -0.764633 0.000313559
           3   -0.766416   -0.765227  0.00052837
           4    -0.76953   -0.766303  0.00101245
           5   -0.763007   -0.765644  0.00100175
           6   -0.767419    -0.76594 0.000877422
           7   -0.764438   -0.765725 0.000777842
           8   -0.770787   -0.766358 0.000901974
           9    -0.76684   -0.766411 0.000803343
          10   -0.769083   -0.766679 0.000766135
          11   -0.768965   -0.766886 0.000724132
          12    -0.76784   -0.766966 0.000668136
          13   -0.768545   -0.767087 0.000627686
          14   -0.767566   -0.767122 0.000583781
          15    -0.76691   -0.767107 0.000545032
          16   -0.767922   -0.767158 0.000513341
          17   -0.769461   -0.767294 0.000500693
          18   -0.768695   -0.767372 0.000478893
          19   -0.767981   -0.767404 0.000454761
          20   -0.768567   -0.767462 0.000435726
