#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1      0.1442      0.1442           0
           2    0.113056    0.128628   0.0110111
           3    0.115176    0.124144  0.00820306
           4    0.158504    0.132734  0.00965359
           5    0.107572    0.127702  0.00893884
           6    0.152568    0.131846  0.00835473
           7     0.12592    0.130999  0.00720396
           8    0.154156    0.133894  0.00686038
           9    0.149192    0.135594  0.00630518
          10    0.149336    0.136968  0.00582249
          11    0.193844    0.142139  0.00723338
          12    0.110812    0.139528  0.00708604
          13    0.140852     0.13963  0.00654169
          14    0.150288    0.140391  0.00611856
          15      0.1247    0.139345  0.00579939
          16    0.134112    0.139018  0.00544614
          17     0.13384    0.138713  0.00513429
          18    0.163968    0.140116  0.00503711
          19    0.166252    0.141492  0.00495626
          20    0.155552    0.142195  0.00475804
