#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.279968     1.24519           0
           2    0.383908     1.28559    0.561371
           3    0.434712      1.3074    0.477766
           4    0.286904     1.29205    0.403256
           5    0.288748     1.28325    0.355206
           6    0.334354     1.28278    0.324334
           7    0.309605     1.28003    0.298886
           8    0.294093     1.27647     0.27782
           9    0.359433     1.27877    0.263253
          10    0.287124     1.27535    0.248238
          11     0.14883     1.26212    0.230612
          12    0.293115      1.2609    0.220389
          13    0.402153     1.26627    0.213959
          14    0.257057     1.26293    0.204906
          15    0.349312     1.26467    0.198721
          16    0.296376     1.26394    0.192152
          17    0.311639     1.26366    0.186413
          18    0.377845     1.26653    0.182139
          19    0.269485      1.2647    0.176658
          20    0.308069     1.26488    0.172176
