#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.981744   -0.981744           0
           2   -0.969624   -0.975684  0.00428507
           3   -0.956096   -0.969155  0.00604833
           4     -0.9786   -0.971516  0.00497589
           5   -0.978696   -0.972952  0.00418279
           6   -0.971808   -0.972761     0.00349
           7   -0.975904    -0.97321  0.00302017
           8   -0.977752   -0.973778  0.00269548
           9   -0.967416   -0.973071  0.00248694
          10    -0.97776    -0.97354  0.00228202
          11   -0.990096   -0.975045  0.00252254
          12    -0.97616   -0.975138  0.00231403
          13   -0.962552    -0.97417  0.00232978
          14   -0.980392   -0.974614  0.00220535
          15   -0.968504   -0.974207  0.00209561
          16    -0.97728   -0.974399  0.00197341
          17   -0.972632   -0.974295  0.00186007
          18   -0.967248   -0.973904  0.00179746
          19   -0.980312   -0.974241  0.00173421
          20    -0.97912   -0.974485  0.00166457
