#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     86.2908     86.2908           0
           2     74.3905     80.3407     4.20739
           3     63.2921     74.6578     5.42194
           4     85.5703     77.3859     4.70298
           5     84.7378     78.8563     3.98562
           6     75.7653     78.3412     3.35448
           7     80.5055     78.6503     2.88948
           8     81.7104     79.0329     2.55349
           9     71.4064     78.1855     2.40626
          10     83.1731     78.6842     2.21673
          11     93.7056     80.0498     2.39924
          12     81.1548     80.1419     2.20107
          13     68.4962     79.2461     2.20654
          14     84.7658     79.6403     2.08385
          15     72.1056      79.138     2.00456
          16      82.248     79.3324     1.88867
          17     75.6073     79.1133     1.79024
          18     71.3548     78.6823      1.7419
          19     85.4247     79.0371     1.68598
          20     84.1267     79.2916     1.62077
