#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.244775    0.523241           0
           2    0.238114    0.519525    0.259105
           3    0.237784    0.518847    0.211229
           4    0.236875    0.518386    0.182734
           5     0.23388     0.51726    0.163057
           6    0.243925    0.518426    0.149202
           7      0.2416    0.519176    0.138334
           8    0.231192    0.518282    0.129149
           9    0.235939    0.517979    0.121687
          10    0.243354    0.518584    0.115586
          11    0.245053    0.519289    0.110364
          12    0.236593    0.519062    0.105616
          13     0.24152     0.51934    0.101529
          14    0.239854    0.519461   0.0978587
          15    0.241319    0.519552     0.09456
          16    0.238142    0.519506   0.0915479
          17     0.24268    0.519809   0.0888678
          18    0.237607    0.519652   0.0863372
          19    0.248087    0.520311   0.0841437
          20    0.238895    0.520285   0.0820083
