#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.81392     1.81392           0
           2     1.80595     1.80994  0.00281711
           3     1.89005     1.83664   0.0218845
           4     1.78579     1.82393    0.019764
           5     1.73698     1.80654   0.0221786
           6     1.79903     1.80529   0.0185175
           7     1.81074     1.80607   0.0158885
           8     1.78479     1.80341   0.0141233
           9     1.74054     1.79642   0.0141766
          10     1.85153     1.80193   0.0137886
          11     1.83823     1.80523   0.0129238
          12     1.84296     1.80838   0.0122233
          13     1.74158     1.80324   0.0123156
          14     1.82203     1.80458   0.0115088
          15      1.7331     1.79981   0.0116865
          16     1.72391     1.79507   0.0118801
          17     1.78524     1.79449   0.0111953
          18     1.90576     1.80067   0.0121607
          19      1.8389     1.80269   0.0116859
          20      1.8482     1.80496    0.011321
