#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.98688     1.98688           0
           2     1.73203     1.85946    0.090102
           3     1.56208     1.76033    0.100791
           4     1.48801     1.69225   0.0958667
           5     1.45965     1.64573   0.0872539
           6     1.39777      1.6044   0.0819162
           7     1.39264     1.57415   0.0755937
           8     1.32322     1.54279   0.0723599
           9     1.30731     1.51662   0.0688881
          10     1.33482     1.49844   0.0643535
          11     1.32331     1.48252   0.0604406
          12     1.29249     1.46668   0.0574409
          13     1.27749     1.45213    0.054835
          14      1.3179     1.44254   0.0517496
          15     1.30938     1.43367   0.0490551
          16     1.32158     1.42666   0.0464867
          17     1.29381     1.41885   0.0444042
          18     1.29556       1.412   0.0424622
          19      1.2868     1.40541   0.0407354
          20     1.28672     1.39947   0.0391285
